room	start	duration	status
corridor	2024-11-16 20:11:58	0.0	Normal
entrance	2024-11-16 20:12:02	0.0	Normal
corridor	2024-11-16 20:12:02	0.0	Normal
entrance	2024-11-16 20:12:12	0.0	Normal
corridor	2024-11-16 20:12:12	0.0	Normal
entrance	2024-11-16 20:12:22	0.0	Normal
corridor	2024-11-16 20:12:22	0.0	Normal
entrance	2024-11-16 20:12:30	0.0	Normal
corridor	2024-11-16 20:12:30	0.0	Normal
entrance	2024-11-16 20:12:54	0.0	Normal
corridor	2024-11-16 20:12:54	0.0	Normal
entrance	2024-11-16 20:13:10	0.0	Normal
corridor	2024-11-16 20:13:10	4.0	Normal
entrance	2024-11-16 20:13:14	0.0	Normal
corridor	2024-11-16 20:13:24	0.0	Normal
entrance	2024-11-16 20:13:24	0.0	Normal
corridor	2024-11-16 20:13:38	0.0	Normal
entrance	2024-11-16 20:13:38	4.0	Emergency
corridor	2024-11-16 20:13:42	0.0	Normal
entrance	2024-11-16 20:13:53	0.0	Normal
corridor	2024-11-16 20:13:53	4.0	Normal
entrance	2024-11-16 20:13:57	11.0	Emergency
corridor	2024-11-16 20:14:08	0.0	Normal
entrance	2024-11-16 20:14:22	0.0	Normal
corridor	2024-11-16 20:14:22	0.0	Normal
entrance	2024-11-16 20:14:30	0.0	Normal
corridor	2024-11-16 20:14:30	7.0	Emergency
entrance	2024-11-16 20:14:37	0.0	Normal
corridor	2024-11-16 20:14:43	0.0	Normal
entrance	2024-11-16 20:14:43	0.0	Normal
corridor	2024-11-16 20:14:50	0.0	Normal
entrance	2024-11-16 20:14:50	0.0	Normal
corridor	2024-11-16 20:14:56	0.0	Normal
entrance	2024-11-16 20:14:56	7.0	Emergency
corridor	2024-11-16 20:15:03	0.0	Normal
entrance	2024-11-16 20:15:07	0.0	Normal
corridor	2024-11-16 20:15:07	0.0	Normal
entrance	2024-11-16 20:15:15	0.0	Normal
corridor	2024-11-16 20:15:15	0.0	Normal
entrance	2024-11-16 20:15:24	0.0	Normal
corridor	2024-11-16 20:15:24	0.0	Normal
entrance	2024-11-16 20:15:37	0.0	Normal
corridor	2024-11-16 20:15:37	0.0	Normal
entrance	2024-11-16 20:15:47	0.0	Normal
corridor	2024-11-16 20:15:47	11.0	Emergency
entrance	2024-11-16 20:15:58	0.0	Normal
corridor	2024-11-16 20:16:07	0.0	Normal
entrance	2024-11-16 20:16:07	7.0	Emergency
corridor	2024-11-16 20:16:14	0.0	Normal
entrance	2024-11-16 20:16:21	0.0	Normal
corridor	2024-11-16 20:16:21	0.0	Normal
entrance	2024-11-16 20:17:09	0.0	Normal
corridor	2024-11-16 20:17:09	0.0	Normal
entrance	2024-11-16 20:17:24	0.0	Normal
corridor	2024-11-16 20:17:24	0.0	Normal
entrance	2024-11-16 20:17:38	0.0	Normal
corridor	2024-11-16 20:17:38	8.0	Emergency
entrance	2024-11-16 20:17:46	0.0	Normal
corridor	2024-11-16 20:17:54	0.0	Normal
entrance	2024-11-16 20:17:54	6.0	Emergency
corridor	2024-11-16 20:18:00	4.0	Normal
entrance	2024-11-16 20:18:04	10.0	Emergency
corridor	2024-11-16 20:18:14	0.0	Normal
entrance	2024-11-16 20:18:21	0.0	Normal
corridor	2024-11-16 20:18:21	0.0	Normal
entrance	2024-11-16 20:18:29	0.0	Normal
corridor	2024-11-16 20:18:29	9.0	Emergency
entrance	2024-11-16 20:18:38	0.0	Normal
corridor	2024-11-16 20:18:46	0.0	Normal
entrance	2024-11-16 20:18:46	4.0	Emergency
corridor	2024-11-16 20:18:50	0.0	Normal
entrance	2024-11-16 20:18:55	0.0	Normal
corridor	2024-11-16 20:18:55	14.0	Emergency
entrance	2024-11-16 20:19:09	15.0	Emergency
corridor	2024-11-16 20:19:24	15.0	Emergency
entrance	2024-11-16 20:19:39	6.0	Emergency
corridor	2024-11-16 20:19:45	0.0	Normal
entrance	2024-11-16 20:19:49	0.0	Normal
corridor	2024-11-16 20:19:49	0.0	Normal
entrance	2024-11-16 20:19:58	0.0	Normal
corridor	2024-11-16 20:19:58	0.0	Normal
entrance	2024-11-16 20:20:02	0.0	Normal
corridor	2024-11-16 20:20:02	0.0	Normal
entrance	2024-11-16 20:20:11	0.0	Normal
corridor	2024-11-16 20:20:11	6.0	Emergency
entrance	2024-11-16 20:20:17	9.0	Emergency
corridor	2024-11-16 20:20:26	0.0	Normal
entrance	2024-11-16 20:20:30	0.0	Normal
corridor	2024-11-16 20:20:30	10.0	Emergency
entrance	2024-11-16 20:20:40	13.0	Emergency
